,gid,population_cnt,year
897,다사255330,28,2018
898,다사248310,16,2018
899,다사250308,472,2018
900,다사262367,178,2018
901,다사273351,238,2018
902,다사294363,44,2018
903,다사271351,6,2018
904,다사294365,447,2018
905,다사261324,559,2018
906,다사248361,119,2018
907,다사266344,312,2018
908,다사258339,0,2018
909,다사279357,181,2018
910,다사252366,907,2018
911,다사262363,647,2018
912,다사263357,127,2018
913,다사251312,639,2018
914,다사266351,172,2018
915,다사251354,28,2018
916,다사265362,813,2018
917,다사270350,413,2018
918,다사266360,214,2018
919,다사258368,378,2018
920,다사252357,0,2018
921,다사256371,72,2018
922,다사275366,211,2018
923,다사275364,84,2018
924,다사267364,658,2018
925,다사233318,307,2018
926,다사251367,111,2018
927,다사267346,0,2018
928,다사274367,166,2018
929,다사276352,633,2018
930,다사248308,102,2018
931,다사254311,461,2018
932,다사275352,42,2018
933,다사269362,0,2018
934,다사261347,485,2018
935,다사241365,732,2018
936,다사244312,179,2018
937,다사262368,354,2018
938,다사231317,447,2018
939,다사234338,0,2018
940,다사250363,15,2018
941,다사258326,366,2018
942,다사291367,583,2018
943,다사290359,97,2018
944,다사258327,439,2018
945,다사279351,215,2018
946,다사262366,425,2018
947,다사251356,50,2018
948,다사284365,0,2018
949,다사291364,240,2018
950,다사233323,585,2018
951,다사247364,361,2018
952,다사246361,66,2018
953,다사252355,60,2018
954,다사271363,0,2018
955,다사257365,50,2018
956,다사242333,399,2018
957,다사248330,238,2018
958,다사246337,891,2018
959,다사294373,0,2018
960,다사248307,61,2018
961,다사266348,220,2018
962,다사267362,181,2018
963,다사265367,117,2018
964,다사275346,981,2018
965,다사255307,366,2018
966,다사254324,87,2018
967,다사232323,866,2018
968,다사289369,388,2018
969,다사279350,1047,2018
970,다사237333,732,2018
971,다사248368,6,2018
972,다사243369,213,2018
973,다사249363,1927,2018
974,다사246371,0,2018
975,다사249361,179,2018
976,다사265353,46,2018
977,다사246311,487,2018
978,다사247362,188,2018
979,다사256327,253,2018
980,다사236336,412,2018
981,다사243336,54,2018
982,다사278349,1065,2018
983,다사244313,529,2018
984,다사255366,86,2018
985,다사288362,302,2018
986,다사233312,0,2018
987,다사269358,53,2018
988,다사243330,44,2018
989,다사278354,601,2018
990,다사246328,578,2018
991,다사291377,11,2018
992,다사250361,211,2018
993,다사252327,99,2018
994,다사278351,588,2018
995,다사267360,225,2018
996,다사254331,48,2018
997,다사268343,417,2018
998,다사244338,779,2018
999,다사278363,246,2018
1000,다사268365,144,2018
1001,다사246332,443,2018
1002,다사256309,666,2018
1003,다사240332,163,2018
1004,다사250362,0,2018
1005,다사238340,13,2018
1006,다사257364,75,2018
1007,다사254323,172,2018
1008,다사264343,555,2018
1009,다사257366,209,2018
1010,다사260322,787,2018
1011,다사272359,177,2018
1012,다사293366,403,2018
1013,다사280353,1053,2018
1014,다사190285,0,2018
1015,다사208282,0,2018
1016,다사191283,0,2018
1017,다사249319,0,2018
1018,다사252325,0,2018
1019,다사252347,0,2018
1020,다사262289,0,2018
1021,다사266353,0,2018
1022,다사268340,0,2018
1023,다사223339,0,2018
1024,다사287362,0,2018
1025,다사235330,0,2018
1026,다사262301,0,2018
1027,다사234304,0,2018
1028,다사273300,0,2018
1029,다사224346,0,2018
1030,다사220286,0,2018
1031,다사270303,0,2018
1032,다사269366,0,2018
1033,다사238277,0,2018
1034,다사277316,0,2018
1035,다사201281,0,2018
1036,다사254299,0,2018
1037,다사245296,0,2018
1038,다사277313,0,2018
1039,다사277370,0,2018
1040,다사281316,0,2018
1041,다사260353,0,2018
1042,다사243325,0,2018
1043,다사278317,0,2018
1044,다사210360,0,2018
1045,다사249301,0,2018
1046,다사246335,0,2018
1047,다사250344,0,2018
1048,다사238341,0,2018
1049,다사261341,0,2018
1050,다사257344,0,2018
1051,다사255302,0,2018
1052,다사226311,0,2018
1053,다사240371,0,2018
1054,다사213335,0,2018
1055,다사247296,0,2018
1056,다사212333,0,2018
1057,다사259286,0,2018
1058,다사244281,0,2018
1059,다사264297,0,2018
1060,다사292368,0,2018
1061,다사256332,0,2018
1062,다사281357,0,2018
1063,다사191285,0,2018
1064,다사269324,0,2018
1065,다사239371,0,2018
1066,다사205360,0,2018
1067,다사245351,0,2018
1068,다사238319,0,2018
1069,다사229354,0,2018
1070,다사239299,0,2018
1071,다사249312,0,2018
1072,다사227359,0,2018
1073,다사248371,0,2018
1074,다사259376,0,2018
1075,다사262326,0,2018
1076,다사212332,0,2018
1077,다사218283,0,2018
1078,다사214320,0,2018
1079,다사270355,0,2018
1080,다사268360,0,2018
1081,다사277312,0,2018
1082,다사232309,0,2018
1083,다사233357,0,2018
1084,다사215323,0,2018
1085,다사253346,0,2018
1086,다사224323,0,2018
1087,다사202287,0,2018
1088,다사207356,0,2018
1089,다사215277,0,2018
1090,다사206285,0,2018
1091,다사281315,0,2018
1092,다사221341,0,2018
1093,다사215335,0,2018
1094,다사229307,0,2018
1095,다사278309,0,2018
1096,다사218338,0,2018
1097,다사232360,0,2018
1098,다사253375,0,2018
1099,다사213281,0,2018
1100,다사244298,0,2018
1101,다사258298,0,2018
1102,다사212366,0,2018
1103,다사225318,0,2018
1104,다사236332,0,2018
1105,다사245371,0,2018
1106,다사256356,0,2018
1107,다사259303,0,2018
1108,다사259321,0,2018
1109,다사294370,0,2018
1110,다사197286,0,2018
1111,다사215284,0,2018
1112,다사226347,0,2018
1113,다사251343,0,2018
1114,다사207287,0,2018
1115,다사190281,0,2018
1116,다사220335,0,2018
1117,다사252297,0,2018
1118,다사214347,0,2018
1119,다사219366,0,2018
1120,다사244303,0,2018
1121,다사245293,0,2018
1122,다사226338,0,2018
1123,다사259308,0,2018
1124,다사253358,0,2018
1125,다사188281,0,2018
1126,다사284314,0,2018
1127,다사241310,0,2018
1128,다사264338,0,2018
1129,다사246375,0,2018
1130,다사218330,0,2018
1131,다사201282,0,2018
1132,다사271345,0,2018
1133,다사226273,0,2018
1134,다사215350,0,2018
1135,다사261318,0,2018
1136,다사247376,0,2018
1137,다사234306,0,2018
1138,다사258323,0,2018
1139,다사215356,0,2018
1140,다사248322,0,2018
1141,다사266334,0,2018
1142,다사273341,0,2018
1143,다사190280,0,2018
1144,다사247370,0,2018
