,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
449,송도동,2018,528.925,95.8548,29,분
450,송도동,2018,547.295,84.9999,35,분
451,송도동,2018,537.53,84.9999,13,분
452,송도동,2018,550.824,84.9999,44,분
453,송도동,2018,536.354,84.9999,12,분
454,송도동,2018,529.029,95.8548,10,분
455,송도동,2018,532.686,84.7966,27,분
456,송도동,2018,547.883,84.9999,46,분
457,송도동,2018,538.707,84.9999,17,분
458,송도동,2018,547.883,84.9999,40,분
459,송도동,2018,543.695,84.9999,30,분
460,송도동,2018,546.118,84.9999,43,분
461,송도동,2018,505.118,84.9999,2,분
462,송도동,2018,529.029,95.8548,24,분
463,송도동,2018,547.883,84.9999,39,분
464,송도동,2018,521.955,84.7966,7,분
465,송도동,2018,500.846,84.7966,2,분
466,송도동,2018,547.883,84.9999,41,분
467,송도동,2018,538.118,84.9999,12,분
468,송도동,2018,525.251,84.8166,20,분
469,송도동,2018,535.765,84.9999,19,분
470,송도동,2018,548.471,84.9999,36,분
471,송도동,2018,536.354,84.9999,23,분
472,송도동,2018,526.118,84.9999,6,분
473,송도동,2018,538.118,84.9999,22,분
474,송도동,2018,539.775,95.8548,43,분
475,송도동,2018,536.354,84.9999,21,분
476,송도동,2018,547.295,84.9999,42,분
477,송도동,2018,526.118,84.9999,7,분
478,송도동,2018,549.059,84.9999,38,분
479,송도동,2018,547.295,84.9999,37,분
480,송도동,2018,533.059,84.9999,9,분
481,송도동,2018,546.707,84.9999,40,분
482,송도동,2018,535.765,84.9999,18,분
483,송도동,2018,525.53,84.9999,7,분
484,송도동,2018,504.824,84.9999,2,분
485,송도동,2018,532.097,84.7966,11,분
486,송도동,2018,529.029,95.8548,19,분
487,송도동,2018,536.942,84.9999,30,분
488,송도동,2018,529.029,95.8548,11,분
489,송도동,2018,536.942,84.9999,12,분
490,송도동,2018,546.707,84.9999,38,분
491,송도동,2018,547.589,84.9999,33,분
492,송도동,2018,539.775,95.8548,33,분
493,송도동,2018,550.118,84.9999,19,분
494,송도동,2018,543.412,84.9999,29,분
495,송도동,2018,546.707,84.9999,36,분
496,송도동,2018,554.354,84.9999,36,분
497,송도동,2018,537.53,84.9999,21,분
498,송도동,2018,545.53,84.9999,39,분
499,송도동,2018,536.942,84.9999,17,분
500,송도동,2018,553.471,84.9999,46,분
501,송도동,2018,543.536,84.7966,38,분
502,송도동,2018,498.358,95.8548,2,분
503,송도동,2018,536.814,84.7966,22,분
504,송도동,2018,537.471,84.9999,9,분
505,송도동,2018,535.765,84.9999,27,분
506,송도동,2018,535.412,84.9999,10,분
507,송도동,2018,547.001,84.9999,49,분
508,송도동,2018,547.295,84.9999,32,분
509,송도동,2018,547.883,84.9999,35,분
510,송도동,2018,547.883,84.9999,32,분
511,송도동,2018,547.295,84.9999,38,분
512,송도동,2018,535.765,84.9999,20,분
513,송도동,2018,547.295,84.9999,42,분
514,송도동,2018,535.765,84.9999,18,분
515,송도동,2018,547.295,84.9999,47,분
516,송도동,2018,535.765,84.9999,11,분
517,송도동,2018,538.118,84.9999,27,분
518,송도동,2018,554.059,84.9999,44,분
519,송도동,2018,513.798,95.8548,6,분
520,송도동,2018,547.883,84.9999,37,분
521,송도동,2018,535.765,84.9999,19,분
522,송도동,2018,526.707,84.9999,7,분
523,송도동,2018,536.942,84.9999,28,분
524,송도동,2018,535.765,84.9999,27,분
525,송도동,2018,525.53,84.9999,5,분
526,송도동,2018,547.295,84.9999,35,분
527,송도동,2018,547.295,84.9999,43,분
528,송도동,2018,518.706,84.9999,4,분
529,송도동,2018,547.53,84.9999,34,분
530,송도동,2018,535.765,84.9999,21,분
531,송도동,2018,533.276,84.7966,23,분
532,송도동,2018,535.765,84.9999,16,분
533,송도동,2018,536.354,84.9999,21,분
534,송도동,2018,535.765,84.9999,13,분
535,송도동,2018,538.118,84.9999,30,분
536,송도동,2018,542.924,84.8166,36,분
537,송도동,2018,541.34,95.8548,39,분
538,송도동,2018,547.295,84.9999,47,분
539,송도동,2018,535.765,84.9999,24,분
540,송도동,2018,533.276,84.7966,28,분
541,송도동,2018,546.707,84.9999,32,분
542,송도동,2018,538.118,84.9999,22,분
543,송도동,2018,540.296,95.8548,37,분
544,송도동,2018,548.471,84.9999,45,분
545,송도동,2018,566.973,74.9894,7,분
546,송도동,2018,576.651,84.7583,6,분
547,송도동,2018,592.117,84.4546,27,분
548,송도동,2018,589.876,84.2262,23,분
549,송도동,2018,516.793,84.202,1,분
550,송도동,2018,585.013,84.4546,14,분
551,송도동,2018,589.876,84.2262,24,분
552,송도동,2018,512.094,84.916,23,입
553,송도동,2018,582.715,84.4546,20,분
554,송도동,2018,599.083,84.202,22,분
555,송도동,2018,595.924,84.202,18,분
556,송도동,2018,592.955,84.202,11,분
557,송도동,2018,550.049,84.916,3,분
558,송도동,2018,573.669,84.2262,23,분
559,송도동,2018,583.108,84.2262,22,분
560,송도동,2018,595.924,84.202,18,분
561,송도동,2018,598.565,74.9894,25,분
562,송도동,2018,555.932,84.4546,3,분
563,송도동,2018,592.551,84.202,14,분
564,송도동,2018,563.106,74.9894,8,분
565,송도동,2018,589.392,84.202,13,분
566,송도동,2018,589.465,84.4546,29,분
567,송도동,2018,582.052,84.4546,13,분
568,송도동,2018,589.392,84.202,19,분
569,송도동,2018,561.608,84.9738,4,분
570,송도동,2018,532.1,74.8994,34,입
571,송도동,2018,542.41,74.9894,3,분
572,송도동,2018,587.603,74.9894,18,분
573,송도동,2018,530.155,74.9894,7,입
574,송도동,2018,587.489,84.2262,16,분
575,송도동,2018,598.156,84.4546,25,분
576,송도동,2018,557.6,84.202,2,분
577,송도동,2018,568.945,84.4546,4,분
578,송도동,2018,521.339,84.916,14,입
579,송도동,2018,512.181,84.9738,1,분
580,송도동,2018,620.097,124.9886,3,분
581,송도동,2018,515.283,84.4546,1,분
582,송도동,2018,546.703,84.9766,3,분
583,송도동,2018,589.045,84.2262,20,분
584,송도동,2018,585.416,74.9894,21,분
585,송도동,2018,520.634,84.2262,23,입
586,송도동,2018,557.243,84.202,6,분
587,송도동,2018,603.468,84.9738,23,분
588,송도동,2018,563.364,84.2262,6,분
589,송도동,2018,590.739,84.7583,14,분
590,송도동,2018,588.494,84.4546,17,분
591,송도동,2018,564.55,84.9738,6,분
592,송도동,2018,605.623,124.9886,1,분
593,송도동,2018,619.104,124.9886,3,분
594,송도동,2018,599.292,84.4546,27,분
595,송도동,2018,656.668,124.9886,5,분
596,송도동,2018,564.55,84.9738,5,분
597,송도동,2018,590.716,84.9766,23,분
598,송도동,2018,658.268,124.9886,4,분
599,송도동,2018,584.749,74.9894,24,분
600,송도동,2018,511.593,84.9738,1,분
601,송도동,2018,580.63,84.9766,15,분
602,송도동,2018,605.623,124.9886,1,분
603,송도동,2018,571.159,84.4546,29,분
604,송도동,2018,593.703,84.202,18,분
605,송도동,2018,581.6,84.2262,18,분
606,송도동,2018,576.637,84.202,8,분
607,송도동,2018,663.549,124.9886,6,분
608,송도동,2018,544.41,74.9894,2,분
609,송도동,2018,623.041,124.9886,3,분
610,송도동,2018,595.01,84.202,21,분
611,송도동,2018,594.805,84.4546,32,분
612,송도동,2018,581.007,84.2262,11,분
613,송도동,2018,582.362,74.9894,13,분
614,송도동,2018,586.468,84.2262,14,분
615,송도동,2018,563.364,84.2262,7,분
616,송도동,2018,593.466,84.202,12,분
617,송도동,2018,620.097,124.9886,2,분
618,송도동,2018,554.061,84.4546,2,분
619,송도동,2018,593.928,84.916,11,분
620,송도동,2018,586.077,84.2262,20,분
621,송도동,2018,585.084,84.4546,27,분
622,송도동,2018,579.092,84.4546,16,분
623,송도동,2018,592.117,84.4546,29,분
624,송도동,2018,596.865,84.4546,30,분
625,송도동,2018,571.649,84.202,8,분
626,송도동,2018,547.706,84.916,2,분
627,송도동,2018,565.756,84.9766,7,분
