,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
369,송도동,2018,400.13337779259757,59.98,2017,2.0,아파트
370,송도동,2018,417.43195859074973,59.89,2017,8.0,아파트
371,송도동,2018,378.34691501746215,68.72,2017,5.0,아파트
372,송도동,2018,353.2403918613414,84.928,2011,10.0,아파트
373,송도동,2018,337.66957343891136,118.459,2011,8.0,아파트
374,송도동,2018,375.74654906458886,101.132,2011,13.0,아파트
375,송도동,2018,353.6192934686516,84.837,2011,22.0,아파트
376,송도동,2018,354.1034690336516,84.721,2011,5.0,아파트
377,송도동,2018,413.12071387259357,84.721,2011,2.0,아파트
378,송도동,2018,354.8406174226743,101.454,2011,20.0,아파트
379,송도동,2018,390.57962015631193,99.8516,2012,4.0,아파트
380,송도동,2018,383.1334653755624,120.0626,2012,34.0,아파트
381,송도동,2018,353.44598049449445,84.8786,2012,25.0,아파트
382,송도동,2018,353.44598049449445,84.8786,2012,15.0,아파트
383,송도동,2018,529.88679263057,84.9238,2015,21.0,아파트
384,송도동,2018,557.0800751026471,96.934,2015,37.0,아파트
385,송도동,2018,482.4431864313442,84.9841,2015,8.0,아파트
386,송도동,2018,270.683770742615,84.97,2015,14.0,아파트
387,송도동,2018,447.164038597317,84.98,2015,19.0,아파트
388,송도동,2018,402.69713429481175,106.78,2015,48.0,아파트
389,송도동,2018,294.22148993762505,84.97,2015,28.0,아파트
390,송도동,2018,353.02424099788186,84.98,2015,38.0,아파트
391,송도동,2018,211.8145445987291,84.98,2015,47.0,아파트
392,송도동,2018,370.63183903988704,84.99,2015,7.0,아파트
393,송도동,2018,353.02424099788186,84.98,2015,15.0,아파트
394,송도동,2018,294.15225320625956,84.99,2015,5.0,아파트
395,송도동,2018,329.48929159802304,84.98,2015,8.0,아파트
396,송도동,2018,270.6519180983761,84.98,2015,38.0,아파트
397,송도동,2018,391.47455415397997,114.95,2015,21.0,아파트
398,송도동,2018,270.6519180983761,84.98,2015,31.0,아파트
399,송도동,2018,411.9100859126751,84.97,2015,51.0,아파트
400,송도동,2018,341.2567662979524,84.98,2015,33.0,아파트
401,송도동,2018,341.2567662979524,84.98,2015,46.0,아파트
402,송도동,2018,353.02424099788186,84.98,2015,49.0,아파트
403,송도동,2018,376.5591903977406,84.98,2015,37.0,아파트
404,송도동,2018,377.1272333003347,84.852,2016,26.0,아파트
405,송도동,2018,450.1650605221915,59.978,2016,9.0,아파트
406,송도동,2018,467.1260072404531,59.941,2016,33.0,아파트
407,송도동,2018,433.49228050285103,59.978,2016,5.0,아파트
408,송도동,2018,323.5611334444554,101.99,2008,3.0,아파트
409,송도동,2018,354.0171108270233,101.69,2008,7.0,아파트
410,송도동,2018,388.37236671766505,84.97,2008,9.0,아파트
411,송도동,2018,343.1708991077557,101.99,2008,6.0,아파트
412,송도동,2018,296.31824579598486,134.99,2007,7.0,아파트
413,송도동,2018,412.20115416323165,84.91,2010,16.0,아파트
414,송도동,2018,419.72717733473246,76.24,2010,8.0,아파트
415,송도동,2018,395.02271380604384,101.26,2010,4.0,아파트
416,송도동,2018,341.6990691646047,84.87,2010,1.0,아파트
417,송도동,2018,358.54616895874267,101.8,2010,14.0,아파트
418,송도동,2018,353.63457760314344,101.8,2010,20.0,아파트
419,송도동,2018,375.27157811574165,101.26,2010,8.0,아파트
420,송도동,2018,385.20801232665644,116.82,2011,23.0,아파트
421,송도동,2018,310.4368881806329,144.957,2011,6.0,아파트
422,송도동,2018,393.31366764995084,101.7,2011,4.0,아파트
423,송도동,2018,356.1224067249161,120.745,2011,5.0,아파트
424,송도동,2018,225.8257840931792,115.133,2011,9.0,아파트
425,송도동,2018,383.48082595870204,101.7,2011,4.0,아파트
